InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
560599,23368,Persepolis: The Story of a Childhood (Pantheon Graphic Library),18,19-07-2011 17:04,8,14609.0,United Kingdom
549584,22507,The Art of Star Wars Jedi: Fallen Order Limited Edition,6,11-04-2011 09:47,71,17574.0,United Kingdom
537219,20665,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,1,05-12-2010 15:47,6,14081.0,United Kingdom
577808,23112,Eight Dates: Essential Conversations for a Lifetime of Love,24,22-11-2011 08:28,14,13403.0,United Kingdom
571017,47566,Primer Level - Lesson Book: Piano Adventures,3,13-10-2011 12:17,3,15116.0,United Kingdom
544465,84032B,Essential Elements 2000: Comprehensive Band Method: B Flat Trumpet Book 1,6,20-02-2011 15:06,7,13168.0,United Kingdom
565648,22920,"Alfred's Basic Adult All-in-One Course, Book 1: Learn How to Play Piano with Lesson, Theory and Technic: Lesson, Theory, Technique (Alfred's Basic Adult Piano Course)",2,05-09-2011 16:22,15,18196.0,United Kingdom
575904,23237,Gateways to Art (Third Edition),4,11-11-2011 15:28,47,18014.0,United Kingdom
575050,21108,Movies (And Other Things),6,08-11-2011 12:14,17,16505.0,United Kingdom
553864,20829,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,2,19-05-2011 14:08,9,15862.0,United Kingdom
561384,90013C,Me: Elton John Official Autobiography,-11,27-07-2011 09:01,17,13194.0,United Kingdom
565249,21845,The Golden Girls: Magnet Set (RP Minis),24,02-09-2011 10:38,7,18027.0,United Kingdom
548153,21558,Homebody: A Guide to Creating Spaces You Never Want to Leave,8,29-03-2011 13:05,23,15129.0,United Kingdom
573279,22507,Essential Elements 2000: Book 1 (Flute),2,28-10-2011 13:22,6,16107.0,United Kingdom
563857,22197,Chanel: Collections and Creations,1,19-08-2011 15:44,33,12968.0,United Kingdom
538994,71215,Essential Elements 2000: Comprehensive Band Method: B Flat Clarinet Book 1,6,15-12-2010 12:05,4,17525.0,United Kingdom
551413,22307,Primer Level - Theory Book: Piano Adventures,10,28-04-2011 13:33,3,16227.0,United Kingdom
565929,23188,The Beautiful Ones,3,08-09-2011 10:11,21,15488.0,United Kingdom
559665,16237,The Game Console: A Photographic History from Atari to Xbox,2,11-07-2011 13:35,18,12556.0,Spain
C564751,22571,Bob Ross Bobblehead: With Sound! (RP Minis),5,30-08-2011 10:06,6,17828.0,Malta
537622,22469,Essential Elements for Strings - Book 2 with EEi: Violin,12,07-12-2010 14:30,7,13173.0,United Kingdom
558767,23153,Indistractable: How to Control Your Attention and Choose Your Life,4,03-07-2011 13:27,0,13833.0,United Kingdom
537153,23174,Essential Elements for Band - Book 1 with EEi: Percussion/Keyboard Percussion (Percussion Book 1),6,05-12-2010 13:03,16,16718.0,United Kingdom
543485,22969,"The Budget-Savvy Wedding Planner & Organizer: Checklists, Worksheets,  and Essential Tools to Plan the Perfect Wedding on a Small Budget",12,09-02-2011 10:19,7,15843.0,United Kingdom
547382,22365,"Adult Coloring Book : Stress Relieving Designs Animals, Mandalas, Flowers, Paisley Patterns And So Much More: Coloring Book For Adults",12,22-03-2011 15:31,6,15457.0,United Kingdom
C544057,15034,Hamilton: The Revolution,12,15-02-2011 12:55,23,13623.0,United Kingdom
572296,23209,Fundamentals of Building Construction: Materials and Methods,3,23-10-2011 14:28,38,13598.0,United Kingdom
570415,22063,Living with Art (B&b Art),4,10-10-2011 13:27,27,14201.0,United Kingdom
