product_description,product_price
"DenTek Triple Clean Floss Picks, No Break Guarantee, 150 Count",3
"Howard Products FW0016 Feed-N-Wax Wood Polish and Conditioner, Beeswax &, 16 oz, orange, 16 Fl Oz",8
Electric Toothbrush Clean as Dentist Rechargeable Sonic Toothbrush with Smart Timer 4 Hours Charge Minimum 30 Days Use 5 Optional Modes Whitening Toothbrushes for Adults with 3 Brush Heads Black,29
"Evriholder Sw-250I-Amz-6, Furemover Pet Hair Removal Broom with Squeegee & Telescoping Handle That Extends from 3-5', Black & Yellow",13
"Premium MCT Oil derived only from Non-GMO Coconuts - 32oz BPA Free Bottle | Great in Keto Coffee,Tea, Smoothies & Salad Dressings | Non-GMO Project Verified & Vegan Certified (Unflavored)",27
"Lansinoh Stay Dry Disposable Nursing Pads, 200 Count (2 Packs of 100), Superior Absorbency, Ultra Soft Leak Protection for Breastfeeding, Non-Toxic Milk Pads, Nursing Essentials",18
OXO Good Grips All-Purpose Squeegee,6
"HAIRFLUENCE - Hair Growth Formula For Longer, Stronger, Healthier Hair - Scientifically Formulated with Biotin, Keratin, Bamboo & More! - For All Hair Types - Veggie Capsules",21
Fitbit Charge 3 Fitness Activity Tracker,139
"Playtex Sport Tampons with Flex-Fit Technology, Regular & Super Multi Pack, Unscented - 50Count",8
"Diapers Size 2, 124 Count - Pampers Swaddlers Disposable Baby Diapers, Giant Pack",27
Hydrating Argan Oil Hair Mask and Deep Conditioner By Arvazallia for Dry or Damaged Hair - 8.45 Oz,12
"Gillette Fusion5 ProGlide Men's Razor Blades, 8 Blade Refills (Packaging May Vary)",24
"Dove Beauty Bar Sensitive Skin 4 Ounce, 16 bars (2 x 8 bars)",12
"Kleenex Trusted Care Facial Tissues, 8 On-The-Go Travel Packs, 10 Tissues per Pack (80 Tissues Total)",2
"ANGEL SOFT Toilet Paper Bath Tissue, 60 Double Rolls, 260+ 2-Ply Sheets Per Roll",27
"Gillette Mach3 Men's Razor Blades, 15 Blade Refills",21
"Remington PG6025 All-in-1 Lithium Powered Grooming Kit, Beard Trimmer (8 Pieces)",20
"Honest Calming Lavender Hypoallergenic Bubble Bath with Naturally Derived Botanicals, Dreamy Lavender",9
YIHONG Set of 8 Reusable Stainless Steel Metal Straws- Ultra Long 10.5 Inch- Regular Size 6 mm Wide - 30oz Tumblers Compatible - 4 Straight+ 4 Bent+ 2 Brushes+ 1 Pouch,175
"Downy Ultra April Fresh Liquid Fabric Conditioner Smart Pouch, Fabric Softener - 48 Oz. Pouches, 3 Pack",5
"PURA D'OR Moroccan Argan Oil (4oz) Usda Certified Organic 100% Pure Cold Pressed Virgin Premium Grade Moisturizer Treatment for Dry & Damaged Skin, Face, Scalp, hair, Body & Nails (Packaging May Vary)",13
"Clorox ToiletWand Disinfecting Refills, Disposable Wand Heads - 30 Count",12
Gillette Venus Extra Smooth Women's Razor Blade (Venus Embrace) - 4 Refills ( Pack May Vary ),11
"It's a 10 Haircare Miracle Leave-In product, 10 fl. oz.",23
"Hyaluronic Acid Serum for Skin- 100% Organic HA- Anti Aging Serum for Face and Neck-Hydrating Facial Serum for Fine Lines, Wrinkle, Dry Skin, Leave Skin Full, Plump, Soft, Smooth (1FL Oz)",9
"Vitamin C Serum for Face and Neck- Natural Anti-Wrinkle Anti-Aging Facial Serum with Hyaluronic Acid, Vitamin E -Antioxidant Serum for Fine Lines, Age Spots, Sun Damage, Dark Circle, 1 fl.oz (30ML)",9
"SYLVANIA 74765 A19 Efficient 8.5W Soft White 2700K 60W Equivalent A29 LED Light Bulb (24 Pack), 24 Count",23
"Sea-Band Wristband, Adult, Colors May Vary, 1 Pair, Anti-Nausea Acupressure Motion or Morning Sickness, 2 Count (Pack of 1)",7
"HUGGIES Simply Clean Fragrance-free Baby Wipes, Soft Pack (9-Pack, 576 Sheets Total), Alcohol-free, Hypoallergenic (Packaging May Vary)",12
"Centrum Silver Men (200 Count) Multivitamin / Multimineral Supplement Tablet, Vitamin D3, Age 50+",13
"Philips Norelco Multigroom All-In-One Series 3000, 13 attachment trimmer, MG3750",19
"L'il Critters Gummy Vites Complete Kids Gummy Vitamins, 190 Count",9
"Vitamin K2 + D3 with Organic Coconut Oil for Better Absorption | 2-in-1 Support for Your Heart, Bones & Teeth | Vegan Certified, GMO & Gluten Free (60 Veggie Softgels)",19
"Jivi Conditioner With Argan Oil (Lavender) | Makes Hair Softer, Shinier, and More Manageable | 100% Natural with Organic Ingredients | Made for All Hair Types, Color Safe | 14 fl. oz.",13
Beauty America Tea Tree Facial Cleansing Wash - with Jojoba Beads - 2 pack,9
"KIND Bars, Peanut Butter Dark Chocolate, Gluten Free, 12 Count",13
"Vitafusion Vitamin D3 Gummy Vitamins, Assorted Flavors",9
Honest Amish Beard Balm Leave-in Conditioner - Made with only Natural and Organic Ingredients - 2 Ounce Tin,164
"Sparkle Paper Towels, 18 Pick-A-Size Plus Rolls = 37 Regular Rolls, Longer Lasting Rolls, White, 115 Sheets Per Roll",11
"Weleda Skin Food, 2.5 Ounce",28
"Vitafusion Extra Strength Vitamin B12 Gummies, 90 Count (Packaging May Vary)",11
"American Crew Fiber, 3 Oz",9
Glucosamine Chondroitin Turmeric MSM Boswellia - Joint Support Supplement for Relief 180 Tablets - Arazo Nutrition,10
"Medline Heavy Absorbency Underpads, 36"" x 36"" Quilted Fluff and Polymer Disposable Underpad, 50 Per Case, Great Protection as Bed Pads and Pee Pads",19
"MuscleTech Platinum Creatine Monohydrate Powder, 100% Pure Micronized Creatine Powder, 14.1oz (80 Servings)",35
"Bona® Hardwood Floor Cleaner Refill, 128 Fl Oz (Pack of 1)",10
"Windex Ammonia-Free Glass Cleaner Trigger Bottle, Crystal Rain, 23 Fl Oz",17
