InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
551314,23174,"DenTek Triple Clean Floss Picks, No Break Guarantee, 150 Count",2,27-04-2011 15:07,3,16333.0,United Kingdom
544887,21754,"Howard Products FW0016 Feed-N-Wax Wood Polish and Conditioner, Beeswax &, 16 oz, orange, 16 Fl Oz",1,24-02-2011 11:54,8,17364.0,United Kingdom
573870,21481,Electric Toothbrush Clean as Dentist Rechargeable Sonic Toothbrush with Smart Timer 4 Hours Charge Minimum 30 Days Use 5 Optional Modes Whitening Toothbrushes for Adults with 3 Brush Heads Black,10,01-11-2011 12:25,29,14485.0,United Kingdom
542796,22593,"Evriholder Sw-250I-Amz-6, Furemover Pet Hair Removal Broom with Squeegee & Telescoping Handle That Extends from 3-5', Black & Yellow",2,01-02-2011 11:07,13,17356.0,United Kingdom
C577363,82482,"Premium MCT Oil derived only from Non-GMO Coconuts - 32oz BPA Free Bottle | Great in Keto Coffee,Tea, Smoothies & Salad Dressings | Non-GMO Project Verified & Vegan Certified (Unflavored)",12,18-11-2011 16:17,27,12697.0,Sweden
543812,23371,"Lansinoh Stay Dry Disposable Nursing Pads, 200 Count (2 Packs of 100), Superior Absorbency, Ultra Soft Leak Protection for Breastfeeding, Non-Toxic Milk Pads, Nursing Essentials",10,13-02-2011 14:40,18,17472.0,United Kingdom
567710,84596B,OXO Good Grips All-Purpose Squeegee,24,22-09-2011 10:03,6,16213.0,United Kingdom
552319,23299,"HAIRFLUENCE - Hair Growth Formula For Longer, Stronger, Healthier Hair - Scientifically Formulated with Biotin, Keratin, Bamboo & More! - For All Hair Types - Veggie Capsules",6,09-05-2011 08:23,21,13003.0,United Kingdom
561388,21231,Fitbit Charge 3 Fitness Activity Tracker,1,27-07-2011 09:32,139,12753.0,Japan
544035,85099F,"Playtex Sport Tampons with Flex-Fit Technology, Regular & Super Multi Pack, Unscented - 50Count",10,15-02-2011 11:30,8,13893.0,United Kingdom
565124,21156,"Diapers Size 2, 124 Count - Pampers Swaddlers Disposable Baby Diapers, Giant Pack",3,01-09-2011 12:09,27,12436.0,Norway
561034,22090,Hydrating Argan Oil Hair Mask and Deep Conditioner By Arvazallia for Dry or Damaged Hair - 8.45 Oz,1,24-07-2011 11:45,12,15506.0,United Kingdom
558108,22304,"Gillette Fusion5 ProGlide Men's Razor Blades, 8 Blade Refills (Packaging May Vary)",6,26-06-2011 15:35,24,12548.0,Spain
554711,22328,"Dove Beauty Bar Sensitive Skin 4 Ounce, 16 bars (2 x 8 bars)",5,26-05-2011 10:41,12,12654.0,Germany
540016,22994,"Kleenex Trusted Care Facial Tissues, 8 On-The-Go Travel Packs, 10 Tissues per Pack (80 Tissues Total)",1,04-01-2011 11:42,2,16282.0,United Kingdom
547697,22909,"ANGEL SOFT Toilet Paper Bath Tissue, 60 Double Rolls, 260+ 2-Ply Sheets Per Roll",2,24-03-2011 16:23,27,14348.0,United Kingdom
558769,21617,"Gillette Mach3 Men's Razor Blades, 15 Blade Refills",1,03-07-2011 14:58,21,17899.0,United Kingdom
536377,22417,"Remington PG6025 All-in-1 Lithium Powered Grooming Kit, Beard Trimmer (8 Pieces)",-2,01-12-2010 09:34,20,17850.0,United Kingdom
C536506,21484,"Honest Calming Lavender Hypoallergenic Bubble Bath with Naturally Derived Botanicals, Dreamy Lavender",1,01-12-2010 12:38,9,17897.0,United Kingdom
566583,22417,YIHONG Set of 8 Reusable Stainless Steel Metal Straws- Ultra Long 10.5 Inch- Regular Size 6 mm Wide - 30oz Tumblers Compatible - 4 Straight+ 4 Bent+ 2 Brushes+ 1 Pouch,1,13-09-2011 13:55,175,15343.0,United Kingdom
578812,35914,"Downy Ultra April Fresh Liquid Fabric Conditioner Smart Pouch, Fabric Softener - 48 Oz. Pouches, 3 Pack",2,25-11-2011 13:30,5,13332.0,United Kingdom
C564504,22207,"PURA D'OR Moroccan Argan Oil (4oz) Usda Certified Organic 100% Pure Cold Pressed Virgin Premium Grade Moisturizer Treatment for Dry & Damaged Skin, Face, Scalp, hair, Body & Nails (Packaging May Vary)",2,25-08-2011 14:24,13,16722.0,United Kingdom
572214,84596B,"Clorox ToiletWand Disinfecting Refills, Disposable Wand Heads - 30 Count",1,21-10-2011 12:50,12,16918.0,United Kingdom
556538,22384,Gillette Venus Extra Smooth Women's Razor Blade (Venus Embrace) - 4 Refills ( Pack May Vary ),6,13-06-2011 12:42,11,15845.0,United Kingdom
