product_description,product_price
Infant Optics DXR-8 Video Baby Monitor with Interchangeable Optical Lens,165
"AmazonBasics Letter Size Sheets Laminating Pouches 9 x 11.5in, 100-pack",10
"Acer Predator Helios 300 Gaming Laptop PC, 15.6"" Full HD 144Hz 3ms IPS Display, Intel i7-9750H, GTX 1660 Ti 6GB, 16GB DDR4, 256GB PCIe NVMe SSD, Backlit Keyboard, PH315-52-78VL","1,139"
"amFilm Glass Screen Protector for iPhone 8, 7, 6S, 6 (4.7"")(2 Pack) Tempered Glass Screen Protector",6
TAKAGI iPhone Charger 3PACK 6Feet Extra Long Nylon Braided USB Charging Cable High Speed Connector Data Sync Transfer Cord Compatible with iPhone Xs Max/X/8/7/Plus/6S/6/SE/5S iPad,9
Brother Genuine TN660 High Yield Black Toner Cartridge,53
Oculus Quest All-in-one VR Gaming Headset – 64GB,399
Ailun Screen Protector for iPhone 8 Plus/7 Plus/6s Plus/6 Plus-5.5 Inch 3Pack 2.5D Edge Tempered Glass Compatible with iPhone 8 Plus/7 plus/6s Plus/6 Plus-Anti Scratch Case Friendly,5
"TP-Link | N300 WiFi Range Extender | Up to 300Mbps | WiFi Extender, Repeater, Wifi Signal Booster, Access Point | Easy Set-Up | External Antennas & Compact Designed Internet Booster (TL-WA855RE)",17
"AmazonBasics Nylon Braided Lightning to USB A Cable, MFi Certified iPhone Charger, Dark Grey, 6 Foot",12
"OontZ Angle 3 (3rd Gen) - Bluetooth Portable Speaker, Louder Volume, Crystal Clear Stereo Sound, Rich Bass, 100 Foot Wireless Range, Microphone, IPX5, Bluetooth Speakers by Cambridge Sound Works (Black)",25
Texas Instruments BA II Plus Financial Calculator,25
"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa voice control, enabled with Bose AR – Black",349
Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC Laptop and Mac (STGX2000400),59
"HP 62 | 2 Ink Cartridges | Black, Tri-color | C2P04AN, C2P06AN",39
HP 63XL | Ink Cartridge | Black | F6U64AN,39
Beam Electronics Universal Smartphone Car Air Vent Mount Holder Cradle Compatible With iPhone XS XS Max XR X 8 8+ 7 7+ SE 6s 6+ 6 5s 4 Samsung Galaxy S10 S9 S8 S7 S6 S5 S4 LG Nexus Nokia and More,14
"Scotch Thermal Laminating Pouches, 8.9 x 11.4 -Inches, 3 mil thick, 100-Pack (TP3854-100)",11
"Acer Predator Helios 300 Gaming Laptop PC, 15.6"" FHD IPS w/ 144Hz Refresh, Intel i7-8750H, GTX 1060 6GB, 16GB DDR4, 256GB NVMe SSD, Aeroblade Metal Fans PH315-51-78NP",972
"HP 61 | 2 Ink Cartridges | Black, Tri-color | CH561WN, CH562WN",45
"Roku Streaming Stick | Portable, Power-Packed Streaming Device with Voice Remote with Buttons for TV Power and Volume",42
Texas Instruments TI-30XS MultiView Scientific Calculator,13
"iOttie Easy One Touch 4 Dash & Windshield Car Mount Phone Holder || for iPhone, Samsung, Moto, Huawei, Nokia, LG, Smartphones",24
"HP 65 | 2 Ink Cartridges | Black, Tri-color | N9K01AN, N9K02AN",29
"VicTsing MM057 2.4G Wireless Mouse Portable Mobile Optical Mouse with USB Receiver, 5 Adjustable DPI Levels, 6 Buttons for Notebook, PC, Laptop, Computer, Macbook - Black",9
"Energizer AAA Batteries (24 Count), Triple A Max Alkaline Battery – Packaging May Vary",11
Nintendo Switch – Neon Red and Neon Blue Joy-Con - HAC 001 (Discontinued by Manufacturer),299
AmazonBasics 8-Sheet Cross-Cut Paper and Credit Card Home Office Shredder,37
"Texas Instruments TI-84 Plus Graphing Calculator, Black",110
"Maxboost Screen Protector for Apple iPhone Xs & iPhone X & iPhone 11 Pro (Clear, 3 Packs) 0.25mm Tempered Glass Screen Protector with Advanced Clarity [3D Touch] Work w/Most Case 99% Touch Accurate",13
"Yootech Wireless Charger Qi-Certified 10W Fast Wireless Charging Compatible with iPhone 11/11 Pro/11 Pro Max/XS MAX/XR/XS/X/8/8Plus, Galaxy Note 10/Note 10 Plus/S10/S10 Plus/S10E(No AC Adapter)",13
Sony Noise Cancelling Headphones WH1000XM3: Wireless Bluetooth Over the Ear Headphones with Mic and Alexa voice control - Industry Leading Active Noise Cancellation - Black,348
TCL 32S327 32-Inch 1080p Roku Smart LED TV (2018 Model),149
"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",59
Apple EarPods with 3.5mm Headphone Plug - White,22
HP 902XL | Ink Cartridge | Black | T6M14AN,42
Samsung 970 EVO 1TB SSD (MZ-V7E1T0BW) NVMe M.2 V-NAND Internal Solid State Drive,18
Texas Instruments TI-36X Pro Engineering/Scientific Calculator,20
