InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
565199,22865,Infant Optics DXR-8 Video Baby Monitor with Interchangeable Optical Lens,24,01-09-2011 16:30,165,18171.0,United Kingdom
536395,22114,"AmazonBasics Letter Size Sheets Laminating Pouches 9 x 11.5in, 100-pack",2,01-12-2010 10:47,10,13767.0,United Kingdom
568788,DCGS0066P,"Acer Predator Helios 300 Gaming Laptop PC, 15.6"" Full HD 144Hz 3ms IPS Display, Intel i7-9750H, GTX 1660 Ti 6GB, 16GB DDR4, 256GB PCIe NVMe SSD, Backlit Keyboard, PH315-52-78VL",1,29-09-2011 09:23,"1,139",17894.0,United Kingdom
556782,22035,"amFilm Glass Screen Protector for iPhone 8, 7, 6S, 6 (4.7"")(2 Pack) Tempered Glass Screen Protector",4,14-06-2011 13:04,6,14871.0,United Kingdom
554826,21790,TAKAGI iPhone Charger 3PACK 6Feet Extra Long Nylon Braided USB Charging Cable High Speed Connector Data Sync Transfer Cord Compatible with iPhone Xs Max/X/8/7/Plus/6S/6/SE/5S iPad,5,26-05-2011 14:53,9,12493.0,France
C573260,21733,Brother Genuine TN660 High Yield Black Toner Cartridge,2,28-10-2011 12:27,53,15287.0,United Kingdom
568154,21937,Oculus Quest All-in-one VR Gaming Headset – 64GB,12,25-09-2011 12:06,399,13787.0,United Kingdom
548412,22530,Ailun Screen Protector for iPhone 8 Plus/7 Plus/6s Plus/6 Plus-5.5 Inch 3Pack 2.5D Edge Tempered Glass Compatible with iPhone 8 Plus/7 plus/6s Plus/6 Plus-Anti Scratch Case Friendly,8,31-03-2011 10:38,5,12601.0,Germany
541285,22422,"TP-Link | N300 WiFi Range Extender | Up to 300Mbps | WiFi Extender, Repeater, Wifi Signal Booster, Access Point | Easy Set-Up | External Antennas & Compact Designed Internet Booster (TL-WA855RE)",4,17-01-2011 12:45,17,13001.0,United Kingdom
565409,47566,"AmazonBasics Nylon Braided Lightning to USB A Cable, MFi Certified iPhone Charger, Dark Grey, 6 Foot",1,04-09-2011 11:15,12,16761.0,United Kingdom
545004,23148,"OontZ Angle 3 (3rd Gen) - Bluetooth Portable Speaker, Louder Volume, Crystal Clear Stereo Sound, Rich Bass, 100 Foot Wireless Range, Microphone, IPX5, Bluetooth Speakers by Cambridge Sound Works (Black)",12,25-02-2011 12:48,25,13753.0,United Kingdom
554712,22616,Texas Instruments BA II Plus Financial Calculator,6,26-05-2011 10:43,25,16873.0,United Kingdom
573425,22579,"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa voice control, enabled with Bose AR – Black",1,31-10-2011 10:05,349,16836.0,United Kingdom
564862,79321,Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC Laptop and Mac (STGX2000400),4,31-08-2011 10:24,59,12678.0,France
567462,23301,"HP 62 | 2 Ink Cartridges | Black, Tri-color | C2P04AN, C2P06AN",12,20-09-2011 12:35,39,14446.0,United Kingdom
547389,22243,HP 63XL | Ink Cartridge | Black | F6U64AN,12,22-03-2011 16:08,39,16721.0,United Kingdom
577171,23354,Beam Electronics Universal Smartphone Car Air Vent Mount Holder Cradle Compatible With iPhone XS XS Max XR X 8 8+ 7 7+ SE 6s 6+ 6 5s 4 Samsung Galaxy S10 S9 S8 S7 S6 S5 S4 LG Nexus Nokia and More,1,18-11-2011 10:52,14,17159.0,United Kingdom
572103,22952,"Scotch Thermal Laminating Pouches, 8.9 x 11.4 -Inches, 3 mil thick, 100-Pack (TP3854-100)",36,20-10-2011 15:57,11,17571.0,United Kingdom
544340,84913A,"Acer Predator Helios 300 Gaming Laptop PC, 15.6"" FHD IPS w/ 144Hz Refresh, Intel i7-8750H, GTX 1060 6GB, 16GB DDR4, 256GB NVMe SSD, Aeroblade Metal Fans PH315-51-78NP",3,18-02-2011 09:41,972,12527.0,Germany
556238,22772,"HP 61 | 2 Ink Cartridges | Black, Tri-color | CH561WN, CH562WN",2,09-06-2011 15:35,45,13397.0,United Kingdom
C542424,21592,"Roku Streaming Stick | Portable, Power-Packed Streaming Device with Voice Remote with Buttons for TV Power and Volume",1,28-01-2011 09:18,42,18075.0,United Kingdom
538032,22858,Texas Instruments TI-30XS MultiView Scientific Calculator,1,09-12-2010 12:59,13,14479.0,United Kingdom
577825,84279B,"iOttie Easy One Touch 4 Dash & Windshield Car Mount Phone Holder || for iPhone, Samsung, Moto, Huawei, Nokia, LG, Smartphones",10,22-11-2011 09:42,24,17453.0,United Kingdom
556181,22348,"HP 65 | 2 Ink Cartridges | Black, Tri-color | N9K01AN, N9K02AN",6,09-06-2011 11:32,29,15407.0,United Kingdom
556284,20686,"VicTsing MM057 2.4G Wireless Mouse Portable Mobile Optical Mouse with USB Receiver, 5 Adjustable DPI Levels, 6 Buttons for Notebook, PC, Laptop, Computer, Macbook - Black",12,10-06-2011 08:54,9,17115.0,United Kingdom
544107,21213,"Energizer AAA Batteries (24 Count), Triple A Max Alkaline Battery – Packaging May Vary",4,16-02-2011 10:50,11,15670.0,United Kingdom
541664,22139,Nintendo Switch – Neon Red and Neon Blue Joy-Con - HAC 001 (Discontinued by Manufacturer),2,20-01-2011 12:23,299,17862.0,United Kingdom
562578,22111,AmazonBasics 8-Sheet Cross-Cut Paper and Credit Card Home Office Shredder,12,07-08-2011 13:17,37,14331.0,United Kingdom
567294,85008,"Texas Instruments TI-84 Plus Graphing Calculator, Black",2,19-09-2011 12:06,110,13774.0,United Kingdom
561671,20725,"Maxboost Screen Protector for Apple iPhone Xs & iPhone X & iPhone 11 Pro (Clear, 3 Packs) 0.25mm Tempered Glass Screen Protector with Advanced Clarity [3D Touch] Work w/Most Case 99% Touch Accurate",6,28-07-2011 17:17,13,12830.0,United Kingdom
576512,22386,"Yootech Wireless Charger Qi-Certified 10W Fast Wireless Charging Compatible with iPhone 11/11 Pro/11 Pro Max/XS MAX/XR/XS/X/8/8Plus, Galaxy Note 10/Note 10 Plus/S10/S10 Plus/S10E(No AC Adapter)",36,15-11-2011 12:09,13,15524.0,United Kingdom
551990,20727,Sony Noise Cancelling Headphones WH1000XM3: Wireless Bluetooth Over the Ear Headphones with Mic and Alexa voice control - Industry Leading Active Noise Cancellation - Black,24,05-05-2011 15:13,348,15759.0,United Kingdom
541700,16225,TCL 32S327 32-Inch 1080p Roku Smart LED TV (2018 Model),24,21-01-2011 09:06,149,15174.0,United Kingdom
C563600,22969,"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",18,18-08-2011 06:24,59,14911.0,EIRE
C555599,35970,Apple EarPods with 3.5mm Headphone Plug - White,5,06-06-2011 10:59,22,17190.0,United Kingdom
