InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
572674,22093,Alisha Solid Women's Cycling Shorts,-310,25-10-2011 13:17,379.0,14173.0,United Kingdom
572852,47566,FabHomeDecor Fabric Double Sofa Bed,-17,26-10-2011 12:24,22646.0,12879.0,United Kingdom
555870,23175,AW Bellies,4,07-06-2011 15:03,499.0,17707.0,United Kingdom
566421,21843,Alisha Solid Women's Cycling Shorts,8,12-09-2011 13:55,267.0,12924.0,United Kingdom
543641,20619,Sicons All Purpose Arnica Dog Shampoo,1,10-02-2011 17:19,210.0,14555.0,United Kingdom
538056,85099B,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,12,09-12-2010 13:34,430.0,17198.0,United Kingdom
575205,22324,Alisha Solid Women's Cycling Shorts,6,09-11-2011 10:18,479.0,13147.0,United Kingdom
C558753,21288,FabHomeDecor Fabric Double Sofa Bed,1,03-07-2011 11:54,22646.0,15033.0,United Kingdom
565669,21175,"dilli bazaaar Bellies, Corporate Casuals, Casuals",2,06-09-2011 09:18,349.0,17560.0,United Kingdom
557027,22297,Alisha Solid Women's Cycling Shorts,24,16-06-2011 13:24,479.0,12816.0,Poland
580265,23392,Ladela Bellies,12,02-12-2011 12:47,950.0,12587.0,Finland
571410,22319,Carrel Printed Women's,576,17-10-2011 12:32,910.0,17527.0,United Kingdom
573276,23204,Alisha Solid Women's Cycling Shorts,12,28-10-2011 13:14,379.0,13985.0,United Kingdom
572227,23203,Freelance Vacuum Bottles 350 ml Bottle,6,21-10-2011 14:01,699.0,15051.0,United Kingdom
570843,90125C,Alisha Solid Women's Cycling Shorts,1,12-10-2011 14:22,379.0,17293.0,United Kingdom
566079,23569,FabHomeDecor Fabric Double Sofa Bed,5,09-09-2011 09:52,22646.0,17593.0,United Kingdom
572327,23223,Style Foot Bellies,1,24-10-2011 10:08,449.0,15277.0,United Kingdom
557859,20718,Carrel Printed Women's,-1,23-06-2011 11:55,999.0,17709.0,United Kingdom
578079,23010,FabHomeDecor Fabric Double Sofa Bed,3,22-11-2011 16:26,22646.0,13985.0,United Kingdom
556822,23052,Sicons Conditioning Conditoner Dog Shampoo,3,15-06-2011 10:22,100.0,17155.0,United Kingdom
566033,23343,dongli Printed Boy's Round Neck T-Shirt,25,08-09-2011 13:07,1039.0,16031.0,United Kingdom
577338,22554,SWAGGA Women Clogs,4,18-11-2011 14:52,1500.0,17650.0,United Kingdom
541123,84596L,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,12,14-01-2011 09:52,190.0,13385.0,United Kingdom
574777,22570,Bengal Blooms Rose Artificial Plant  with Pot,4,07-11-2011 10:23,579.0,17761.0,United Kingdom
574306,22659,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,5,03-11-2011 16:37,699.0,17481.0,United Kingdom
553405,22111,Shopmania Music Band A5 Notebook Spiral Bound,3,17-05-2011 08:37,275.0,14952.0,United Kingdom
576780,23298,Shopmania Music Band A5 Notebook Spiral Bound,12,16-11-2011 13:27,275.0,13258.0,United Kingdom
571709,23569,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",2,18-10-2011 15:52,837.0,16463.0,United Kingdom
554306,22749,KAJCI Embroidered Women's Waistcoat,24,23-05-2011 14:59,699.0,15734.0,United Kingdom
540517,22993,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,12,09-01-2011 12:02,298.0,17128.0,United Kingdom
551834,22616,Pick Pocket Embroidered Women's Waistcoat,2,04-05-2011 13:13,899.0,16610.0,United Kingdom
576351,47590B,Angelfish Silk Potali Potli,2,14-11-2011 15:51,399.0,17235.0,United Kingdom
538068,85135C,Oye Boy's Dungaree,4,09-12-2010 14:05,764.0,17978.0,United Kingdom
567905,21731,Nuride Canvas Shoes,10,22-09-2011 16:37,1349.0,12952.0,United Kingdom
555070,84946,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,1,31-05-2011 11:36,1499.0,15863.0,United Kingdom
C567349,22197,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,1,19-09-2011 16:01,1899.0,13375.0,United Kingdom
579133,20723,Rapter BNC-179 BNC Wire Connector,1,28-11-2011 12:36,1400.0,17852.0,United Kingdom
572512,22570,Vishudh Printed Women's Straight Kurta,30,24-10-2011 14:35,499.0,15806.0,United Kingdom
