product_description,product_price
"Clothing, Shoes & Jewelry",12
Luggage & Travel Gear,38
"Superbreak Backpack - Lightweight School Pack, Black",14
"Travel Laptop Backpack,Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port,Water Resistant...",39
"Travel Backpacks for Men, Extra Large College School Laptop Bookbags with USB Charging Port,TSA Friendly Water...",35
"Laptop Backpack,Business Travel Anti Theft Slim Durable Laptops Backpack with USB Charging Port,Water Resistant...",44
"Vintage Laptop Backpack for Women Men,School College Backpack with USB Charging Port Fashion Backpack Fits 15...",33
SwissGear Travel Gear 1900 Scansmart TSA Large Laptop Backpack for Travel,39
"Laptop Backpack, School Backpacks Durable Water Resistant College Bookbag for Women and Men, Anti Theft Slim Business...",40
Laptop Backpack Laptop Bag Casual Daypack Water Repellent Nylon Briefcase Business Bag Tablet with USB Port for...,14
Women's Jester Backpack,33
Travel Laptop Backpack Water Resistant Anti-Theft Bag with USB Charging Port and Lock 14/15.6 Inch Computer Business...,38
TUMI - Voyageur Carson Laptop Backpack - 15 Inch Computer Bag for Women,316
KOPACK Lightweight Laptop Backpack USB Port 15.6 Inch Business Slim Commute Travel Bag,32
Wenger Ibex Laptop Backpack,67
"Oakley Men's Kitchen Sink Backpack, stealthblack,  One Size",132
"LXY Vegan Leather Backpack Vintage Laptop Bookbag for Women Men, Brown Faux Leather Backpack Purse College School Bookbag Rucksack Backpack Weekend Travel Daypack",31
"TSA Friendly, Swissdigital Water-Resistant Large Backpack, Business Laptop Backpack for Men with USB Charging Port/RFID Protection Big School Bookbag Fits 15.6 in Travel Laptop Backpack [Black] (A)",62
JanSport Big Student Backpack - 15-Inch Laptop School Pack,45
Herschel Supply Co. Pop Quiz Backpack,59
JanSport TDN7 Big Student Backpack,42
Bopai 15 inch Super Slim Laptop Backpack Men Anti Theft Backpack Waterproof College Backpack,56
"Preschool Backpack,Vaschy Little Kid Backpacks for Boys and Girls with Chest Strap",19
"Swiss Backpack for Men, TSA Smart Scanner Friendly Laptop Business Travel Backpacks Scansmart Bag with USB Charging Port & RFID Protection Fits in 15.6 Inch Computer and Notebook, Black",26
"The North Face Vault Backpack, Mid Grey Dark Heather/TNF Black",64
Under Armour Storm Hustle II Backpack,54
Swiss Gear SA1908 Black TSA Friendly ScanSmart Laptop Backpack  - Fits Most 17 Inch Laptops and Tablets,44
Nike Hoops Elite Hoops Pro Basketball Backpack Black/Metallic Cool Grey,130
Targus Rolling Backpack Case,52
"Laptop Backpack with USB Charging Port, Raydem 17.3 Inch Water Resistant Travel School Backpack Business Laptop Bag, TSA Friendly Computer Backpack Anti Theft Carry on Bookbags for Women Men, Black",87
Under Armour Scrimmage Backpack 2.0,63
SCIONE School Backpacks for Women Teen Girls Book Bagwith USB Charging Port and Backpack Rain Cover Lightweight Canvas Stripe Backpack Cute Teen Bookpacks Set Bookbags+Insulated Lunch Bag+Pouch 3 in 1,33
Herschel Supply Co. Little America Backpack,33
adidas Prime Backpack,45
"Backpack, Water Resistant School Backpack with USB Charging Port for Women Men, Canvas College Student Rucksack Fits 15.6 Inch Laptop and Notebook, Daypack for Travel Outdoor Camping - Grey",30
OlarHike Lightweight Packable Durable Hiking Travel Backpack for Men Women,99
"Carhartt Legacy Standard Work Backpack with Padded Laptop Sleeve and Tablet Storage, Carhartt Brown",45
"High Sierra Swerve Laptop Backpack, 17-inch Laptop Backpack for High School or College, Ideal Gaming Laptop Backpack",21
Kenox Girl's School Rucksack College Bookbag Lady Travel Backpack 14Inch Laptop Bag (Floral),17
"Everest Luggage Basic Backpack, Black, Medium",69
"Carhartt Legacy Deluxe Work Backpack with 17-Inch Laptop Compartment, Carhartt Brown",53
AmazonBasics Carry On Travel Backpack - Black,29
JanSport Big Student Backpack,11
JanSport Big Student Backpack (NAVY),99
KAKA Travel Backpack Carry-On Bag Flight Duffle Bag Rucksack for Men Women,49
NOMATIC Backpack- Slim Black Water Resistant Anti-Theft 20L Laptop Bag RFID Protected,46
"hotstyle TRENDYMAX Galaxy Backpack Cute for School | 16""x12""x6"" | Holds 15.4-inch Laptop",47
"American Tourister Kids' Disney Children's Backpack, Frozen, One Size",47
Minecraft Creeper 5 Piece Backpack Set Lunch Box Water Bottle Ice Pack Squishy,219
"Lowepro Fastpack BP 250 AW II - A Travel-Ready Backpack for DSLR and 15"" Laptop and Tablet",25
Peak Design Travel Line Backpack 45L (Black) (Expandable 30-35-45L),21
Swiss Gear SA1923 Black TSA Friendly ScanSmart Laptop Backpack - Fits Most 15 Inch Laptops and Tablets,34
