InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
580361,23506,"Clothing, Shoes & Jewelry",1,02-12-2011 16:25,12,14865.0,United Kingdom
563252,22937,Luggage & Travel Gear,10,15-08-2011 11:59,38,17655.0,United Kingdom
553838,22111,"Superbreak Backpack - Lightweight School Pack, Black",12,19-05-2011 12:10,14,12620.0,France
546679,22730,"Travel Laptop Backpack,Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port,Water Resistant...",1,15-03-2011 16:47,39,13121.0,United Kingdom
578284,23319,"Travel Backpacks for Men, Extra Large College School Laptop Bookbags with USB Charging Port,TSA Friendly Water...",2,23-11-2011 13:56,35,14385.0,United Kingdom
542835,21821,"Laptop Backpack,Business Travel Anti Theft Slim Durable Laptops Backpack with USB Charging Port,Water Resistant...",4,01-02-2011 11:30,44,13939.0,United Kingdom
543548,23058,"Vintage Laptop Backpack for Women Men,School College Backpack with USB Charging Port Fashion Backpack Fits 15...",1,10-02-2011 09:21,33,13706.0,United Kingdom
563259,22998,SwissGear Travel Gear 1900 Scansmart TSA Large Laptop Backpack for Travel,1,15-08-2011 12:19,39,17958.0,United Kingdom
568342,22891,"Laptop Backpack, School Backpacks Durable Water Resistant College Bookbag for Women and Men, Anti Theft Slim Business...",12,26-09-2011 15:10,40,14473.0,United Kingdom
538903,22698,Laptop Backpack Laptop Bag Casual Daypack Water Repellent Nylon Briefcase Business Bag Tablet with USB Port for...,6,15-12-2010 10:17,14,13496.0,United Kingdom
545408,23204,Women's Jester Backpack,3,02-03-2011 12:10,33,15067.0,United Kingdom
552296,85036C,Travel Laptop Backpack Water Resistant Anti-Theft Bag with USB Charging Port and Lock 14/15.6 Inch Computer Business...,1,08-05-2011 14:09,38,15518.0,United Kingdom
551191,22904,TUMI - Voyageur Carson Laptop Backpack - 15 Inch Computer Bag for Women,2,27-04-2011 10:52,316,16698.0,United Kingdom
573900,85214,KOPACK Lightweight Laptop Backpack USB Port 15.6 Inch Business Slim Commute Travel Bag,16,01-11-2011 14:45,32,17668.0,United Kingdom
C554521,22483,Wenger Ibex Laptop Backpack,10,24-05-2011 17:11,67,14407.0,United Kingdom
571945,22960,"Oakley Men's Kitchen Sink Backpack, stealthblack,  One Size",12,20-10-2011 10:34,132,17354.0,United Kingdom
