InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
567661,71053,Men,1,21-09-2011 15:06,26,13959.0,United Kingdom
558621,15060B,Clothing,12,30-06-2011 16:43,15,13745.0,United Kingdom
557870,22801,Men,1,23-06-2011 12:36,26,14404.0,United Kingdom
554262,22027,Clothing,4,23-05-2011 12:32,15,17715.0,United Kingdom
568054,21755,Men's Stay Tucked Crew T-Shirt - XXX-Large - White (Pack of 6),12,23-09-2011 12:50,39,16978.0,United Kingdom
C545455,23504,"Men's 6"" Boxer Brief Fly Front with Pouch, 3-Pack",1,02-03-2011 17:11,14,16473.0,United Kingdom
565936,21356,Men's 5-Pack Sports-Inspired FreshIQ Odor Protection Boxer Brief,4,08-09-2011 10:49,16,15653.0,United Kingdom
569665,35648,Men's Woven Boxer Underwear Multipack,10,05-10-2011 13:34,15,12789.0,Netherlands
C579913,22120,Men's Stay Tucked V-Neck T-Shirt,24,01-12-2011 08:55,75,14626.0,United Kingdom
552235,22573,Men's Slim-Fit Casual Stretch Khaki,4,06-05-2011 16:17,11,15194.0,United Kingdom
C539270,21531,Men's 559 Relaxed Straight Fit Jean,2,16-12-2010 15:27,16,14777.0,United Kingdom
574481,20983,Men's Sport Performance Climalite Boxer Brief Underwear (2 Pack),12,04-11-2011 12:45,14,18022.0,United Kingdom
555096,23332,Men's Slim-Fit Stretch Jean,1,31-05-2011 13:32,61,12682.0,France
542609,21851,Dagacci Scrubs Medical Uniform Women and Man Scrubs Set Medical Scrubs Top and Pants,8,30-01-2011 14:03,24,13161.0,United Kingdom
575886,21918,Performance Cushion Crew Socks with Band (6 Pairs),24,11-11-2011 13:57,26,12517.0,Germany
C553023,22487,Authentics Men's Classic 5-Pocket Relaxed Fit Cotton Jean,120,12-05-2011 19:27,69,13952.0,United Kingdom
573000,22951,No Show Socks Mens 7 Pair Cotton Thin Non Slip Low Cut Men Invisible Sock 6-9/10-12,1,27-10-2011 11:55,17,14752.0,United Kingdom
562042,22782,Authentics Men's Classic 5-Pocket Regular Fit Flex Jean,3,02-08-2011 10:19,29,13075.0,United Kingdom
549584,21172,Men's Classic-Fit Cargo Short,32,11-04-2011 09:47,17,17574.0,United Kingdom
