product_description,product_price
"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls (Equal to 123 Regular Rolls)",31
"Collagen Peptides Powder (16oz) | Grass-Fed, Certified Paleo Friendly, Non-GMO and Gluten Free - Unflavored",27
"Scott ComfortPlus Toilet Paper, 12 Double Rolls, Bath Tissue",8
Finish - All in 1 - 94ct - Dishwasher Detergent - Powerball - Dishwashing Tablets - Dish Tabs - Fresh Scent (Packaging May Vary),11
"Energizer AA Batteries (48Count), Double A Max Alkaline Battery – Packaging May Vary",19
"Tide PODS 3 in 1 HE Turbo Laundry Detergent Pacs, Spring Meadow Scent, 81 Count Tub - Packaging May Vary",19
"Cottonelle Ultra GentleCare Toilet Paper, 48 Double Rolls, Sensitive Bath Tissue with Aloe & Vitamin E",16
"Neutrogena Makeup Remover Cleansing Towelettes, Daily Cleansing Face Wipes to Remove Waterproof Makeup and Mascara, Alcohol-Free, Value Twin Pack, 25 count, 2 Pack",8
"Schick Silk Touch-Up Multipurpose Exfoliating Dermaplaning Tool, Eyebrow Razor, and Facial Razor with Precision Cover, 3 Count",4
"Quilted Northern Ultra Plush Toilet Paper, 24 Supreme Rolls, 24 = 99 Regular Rolls, 3 Ply Bath Tissue, 3 Packs of 8 Rolls",27
"Bounty Quick-Size Paper Towels, White, Family Rolls, 12 Count (Equal to 30 Regular Rolls)",30
AmazonBasics 9 Volt Everyday Alkaline Battery - Pack of 8,9
"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls (Equal to 123 Regular Rolls)",31
"Collagen Peptides Powder (16oz) | Grass-Fed, Certified Paleo Friendly, Non-GMO and Gluten Free - Unflavored",27
"Scott ComfortPlus Toilet Paper, 12 Double Rolls, Bath Tissue",8
Finish - All in 1 - 94ct - Dishwasher Detergent - Powerball - Dishwashing Tablets - Dish Tabs - Fresh Scent (Packaging May Vary),11
"Energizer AA Batteries (48Count), Double A Max Alkaline Battery – Packaging May Vary",19
"Tide PODS 3 in 1 HE Turbo Laundry Detergent Pacs, Spring Meadow Scent, 81 Count Tub - Packaging May Vary",19
"Cottonelle Ultra GentleCare Toilet Paper, 48 Double Rolls, Sensitive Bath Tissue with Aloe & Vitamin E",16
"Neutrogena Makeup Remover Cleansing Towelettes, Daily Cleansing Face Wipes to Remove Waterproof Makeup and Mascara, Alcohol-Free, Value Twin Pack, 25 count, 2 Pack",8
"Schick Silk Touch-Up Multipurpose Exfoliating Dermaplaning Tool, Eyebrow Razor, and Facial Razor with Precision Cover, 3 Count",4
"Quilted Northern Ultra Plush Toilet Paper, 24 Supreme Rolls, 24 = 99 Regular Rolls, 3 Ply Bath Tissue, 3 Packs of 8 Rolls",27
"Bounty Quick-Size Paper Towels, White, Family Rolls, 12 Count (Equal to 30 Regular Rolls)",30
AmazonBasics 9 Volt Everyday Alkaline Battery - Pack of 8,9
"Orgain Organic Plant Based Protein Powder, Creamy Chocolate Fudge - Vegan, Low Net Carbs, Non Dairy, Gluten Free, Lactose Free, No Sugar Added, Soy Free, Kosher, Non-GMO, 2.03 Pound",26
"Bounce Fabric Softener and Dryer Sheets, Outdoor Fresh, 240 Count",7
"Turmeric Curcumin with Bioperine 1500mg. Highest Potency Available. Premium Pain Relief & Joint Support with 95% Standardized Curcuminoids. Non-GMO, Gluten Free Turmeric Capsules with Black Pepper",18
"Lysol Disinfecting Wipes, Lemon & Lime Blossom, 320ct ,Packaging May Vary (Pack of 4)",11
"Kleenex Ultra Soft Facial Tissues, 8 Flat Boxes, 120 Tissues per Box (960 Tissues Total)",12
"Dixie Everyday Paper Plates,10 1/16"" Plate, 220 Count, Amazon Exclusive Design, 5 Packs of 44 Plates, Dinner Size Printed Disposable Plates",19
"Nature's Way Sambucus Elderberry Gummies, Herbal Supplements with Vitamin C and Zinc, Gluten Free, Vegetarian, 60 Gummies (Packaging May Vary)",14
"Etekcity Digital Body Weight Bathroom Scale with Step-On Technology, 400 Pounds, Body Tape Measure Included, Elegant Black",16
"Glad Tall Kitchen Drawstring Trash Bags - OdorShield 13 Gallon White Trash Bag, Gain Original with Febreze Freshness - 100 Count",14
"Cottonelle Ultra ComfortCare Toilet Paper, Soft Bath Tissue, Septic-Safe, 36 Family+ Rolls",18
Aztec Secret - Indian Healing Clay - 1 lb. | Deep Pore Cleansing Facial & Body Mask | The Original 100% Natural Calcium Bentonite Clay – New! Version 2,9
AmazonBasics C Cell Everyday 1.5 Volt Alkaline Batteries - Pack of 12,9
"Charmin Ultra Strong Clean Touch Toilet Paper, 24 Family Mega Rolls (Equal to 123 Regular Rolls)",31
"Scotch-Brite Non-Scratch Scrub Sponge, Cleaning Power for Everyday Jobs, 6 Scrub Sponges",5
"Viva Signature Cloth Choose-A-Sheet Paper Towels, Soft & Strong Kitchen Paper Towels, White, 6 Count (58 Sheetsper Roll)",10
Shibari Personal Lubricant - Water Based 8oz Bottle,7
AmazonBasics D Cell 1.5 Volt Everyday Alkaline Battery - 12-Pack,12
"Belei Oil-Free Micellar Facial Cleansing Wipes, Fragrance Free, Alcohol Free, 25 Count (Pack of 2)",9
"Probiotics 60 Billion CFU - Dr. Approved Probiotics for Women, Probiotics for Men and Adults, Natural; Shelf Stable Probiotic Supplement with Organic Prebiotic, Acidophilus Probiotic; 30 Capsules",21
"Dove Body Wash Pump, Deep Moisture, 34 Fl Oz (Pack of 1)",8
"Clorox ToiletWand Disinfecting Refills, Disposable Wand Heads - Rainforest Rush - 30 Count",11
Tinkle Eyebrow Razor Pack of 6,4
"Crest Complete Whitening + Scope Toothpaste, Minty Fresh, 5.4 Ounce Triple Pack",8
"WaterWipes Sensitive Baby Wipes, 720 Count (12 Packs of 60 Count)",42
"Amazon Elements Baby Wipes, Sensitive, 480 Count, Flip-Top Packs",12
"Diapers Size 4, 150 Count - Pampers Swaddlers Disposable Baby Diapers, ONE MONTH SUPPLY",49
"Zarbee's Naturals Children's Elderberry Immune Support* Gummies with Vitamin C, Zinc, Natural Berry Flavor, 42 Count",10
"NatureWise Vitamin D3 5,000 IU for Healthy Muscle Function, Bone Health, & Immune Support | Non-GMO in Cold-Pressed Organic Olive Oil & Gluten-Free (Packaging May Vary) [1Year Supply - 360 Count]",13
"Cascade Platinum Plus Dishwasher Detergent Actionpacs, Lemon, 70 Count",19
50 Pcs Premium Velvet Hair Scrunchies Hair Bands Scrunchy Hair Ties Ropes Ponytail holder for Women or Girls Hair Accessories,9
"Hydrolyzed Collagen Powder - Vital Proteins Collagen Peptides Grass-Fed and Pasture Raised, dairy free, gluten free",42
"Affresh W10282479 Dishwasher Cleaner, 1 Pack",5
"Lagunamoon Essential Oils Top 6 Gift Set  Pure Essential Oils for Diffuser, Humidifier, Massage, Aromatherapy, Skin & Hair Care",9
CeraVe Moisturizing Cream | 19 Ounce | Daily Face and Body Moisturizer for Dry Skin,14
"Energizer AAA Batteries (24 Count), Triple A Max Alkaline Battery – Packaging May Vary",11
"Tide Laundry Detergent Liquid, Original Scent, HE Turbo Clean, 100 oz, 64 Loads",11
"Garden of Life Dr. Formulated Probiotics for Women, Once Daily Women’s Probiotics, 50 Billion CFU Guaranteed, 16 Strains, Shelf Stable, Gluten Dairy & Soy Free One a Day, Prebiotic Fiber, 30 Capsules",27
"Avarelle Acne Absorbing Cover Patch Hydrocolloid, Tea Tree, Calendula Oil, CICA (40 ROUND PATCHES)",8
"SmartyPants Kids Formula Daily Gummy Vitamins: Gluten Free, Multivitamin & Omega 3 Fish Oil (DHA/EPA), Methyl B12, Vitamin D3, Vitamin B6, 120 Count (30 Day Supply) - Packaging May Vary",15
"Amazon Elements Baby Wipes, Unscented, 720 Count Flip-Top Packs",17
"Listerine Total Care Anticavity Mouthwash, 6 Benefit Fluoride Mouthwash for Bad Breath and Enamel Strength, Fresh Mint Flavor, 1 L",7
"Cetaphil Daily Advance Ultra Hydrating Lotion With Shea Butter For Dry, Sensitive Skin, 16 Fl Oz (Pack of 1)",6
"Crest 3D White Professional Effects Whitestrips Whitening Strips Kit, 22 Treatments, 20 Professional Effects + 2 1 Hour Express Whitestrips, 44 Count",44
"Ziploc Gallon Slider Storage Bags, 32 ct (Pack of 3) 96 total bags",13
Crest 3D White Toothpaste Radiant Mint 4.8 oz (3 pack),9
"Probiotic 40 Billion CFU. Guaranteed Potency until Expiration - Patented Delay Release, Shelf Stable - Lactobacillus Acidophilus - Gluten Dairy Free for Women Men - No Refrigeration – Digestive Health",18
"Zarbee's Naturals Children's Sleep with Melatonin Supplement, Natural Berry Flavored Gummies for Natural, Restful Sleep*, 50 Gummies (1 Bottle)",12
"Doctor's Best High Absorption Magnesium Glycinate Lysinate, 100% Chelated, TRACCS, Not Buffered, Headaches, Sleep, Energy, Leg Cramps, Non-GMO, Vegan, Gluten Free, Soy Free, 100 mg, 240 Tablets",14
Rocco & Roxie Professional Strength Stain & Odor Eliminator - Enzyme-Powered Pet Odor & Stain Remover for Dog and Cats Urine,19
Biotin Infused with Organic Virgin Coconut Oil - (120 Veggie-softgels) (5000mcg),14
"Revlon One-Step Hair Dryer & Volumizer Hot Air Brush, Black",47
"Wool Dryer Balls by Smart Sheep 6-Pack, XL Premium Reusable Natural Fabric Softener",16
"Kleenex Ultra Soft Facial Tissues, 4 Cube Boxes, 65 Tissues per Box (260 Tissues Total)",5
"Brawny Tear-A-Square Paper Towels, Quarter Size Sheets, 16 Count",30
Swiffer Sweeper Dry and Wet Floor Mopping and Cleaning Starter Kit,11
"Sensodyne Pronamel Gentle Whitening, Sensitive Toothpaste, 4 oz (Pack of 3)",14
"Burn-XT Thermogenic Fat Burner - Weight Loss Supplement, Appetite Suppressant, Energy Booster - Premium Fat Burning Acetyl L-Carnitine, Green Tea Extract, More - 60 Natural Veggie Diet Pills",29
"HUGGIES Natural Care Unscented Baby Wipes, Sensitive, 6 Disposable Flip-top Packs, 288 Count",8
"Amazon Brand - Solimo Tall Kitchen Drawstring Trash Bags, 13 Gallon, 120 Count",14
LUMIFY Redness Reliever Eye Drops 0.25 Fl Oz (7.5mL),16
"Mr Clean Magic Eraser Extra Durable, Cleaning Pads with Durafoam, 8 Count (Pack of 1) Box (Packaging May Vary)",8
"Glad Tall Kitchen Drawstring Trash Bags - OdorShield 13 Gallon White Trash Bag, Febreze Fresh Clean - 110 Count",16
"Posture Corrector For Men And Women - USA Designed Adjustable Upper Back Brace For Clavicle Support and Providing Pain Relief From Neck, Back and Shoulder (Universal)",19
"SugarBearHair Vitamins, 60 Count (1 Month Supply)",29
