InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C579915,23190,"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls (Equal to 123 Regular Rolls)",6,01-12-2011 08:56,31,16570.0,United Kingdom
547945,22558,"Collagen Peptides Powder (16oz) | Grass-Fed, Certified Paleo Friendly, Non-GMO and Gluten Free - Unflavored",1,28-03-2011 14:59,27,14851.0,United Kingdom
570235,22457,"Scott ComfortPlus Toilet Paper, 12 Double Rolls, Bath Tissue",12,09-10-2011 14:30,8,13193.0,United Kingdom
543053,22090,Finish - All in 1 - 94ct - Dishwasher Detergent - Powerball - Dishwashing Tablets - Dish Tabs - Fresh Scent (Packaging May Vary),1,03-02-2011 10:26,11,17362.0,United Kingdom
553047,21034,"Energizer AA Batteries (48Count), Double A Max Alkaline Battery – Packaging May Vary",5,13-05-2011 09:38,19,13534.0,United Kingdom
C561018,21672,"Tide PODS 3 in 1 HE Turbo Laundry Detergent Pacs, Spring Meadow Scent, 81 Count Tub - Packaging May Vary",24,22-07-2011 16:50,19,14916.0,United Kingdom
554684,23489,"Cottonelle Ultra GentleCare Toilet Paper, 48 Double Rolls, Sensitive Bath Tissue with Aloe & Vitamin E",1,25-05-2011 16:28,16,16448.0,United Kingdom
539659,82001S,"Neutrogena Makeup Remover Cleansing Towelettes, Daily Cleansing Face Wipes to Remove Waterproof Makeup and Mascara, Alcohol-Free, Value Twin Pack, 25 count, 2 Pack",12,21-12-2010 09:47,8,15034.0,United Kingdom
569920,21789,"Schick Silk Touch-Up Multipurpose Exfoliating Dermaplaning Tool, Eyebrow Razor, and Facial Razor with Precision Cover, 3 Count",1,06-10-2011 17:28,4,13348.0,United Kingdom
566202,23053,"Quilted Northern Ultra Plush Toilet Paper, 24 Supreme Rolls, 24 = 99 Regular Rolls, 3 Ply Bath Tissue, 3 Packs of 8 Rolls",2,09-09-2011 14:22,27,15652.0,United Kingdom
552453,22034,"Bounty Quick-Size Paper Towels, White, Family Rolls, 12 Count (Equal to 30 Regular Rolls)",2,09-05-2011 14:10,30,12840.0,United Kingdom
536539,23232,AmazonBasics 9 Volt Everyday Alkaline Battery - Pack of 8,144,01-12-2010 14:03,9,15165.0,United Kingdom
550265,20752,"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls (Equal to 123 Regular Rolls)",10,15-04-2011 12:10,31,17572.0,United Kingdom
577026,84078A,"Collagen Peptides Powder (16oz) | Grass-Fed, Certified Paleo Friendly, Non-GMO and Gluten Free - Unflavored",4,17-11-2011 12:55,27,17237.0,United Kingdom
545873,20979,"Scott ComfortPlus Toilet Paper, 12 Double Rolls, Bath Tissue",4,07-03-2011 14:54,8,13092.0,United Kingdom
564044,22741,Finish - All in 1 - 94ct - Dishwasher Detergent - Powerball - Dishwashing Tablets - Dish Tabs - Fresh Scent (Packaging May Vary),12,22-08-2011 12:58,11,16952.0,United Kingdom
572923,22420,"Energizer AA Batteries (48Count), Double A Max Alkaline Battery – Packaging May Vary",4,27-10-2011 08:35,19,15948.0,United Kingdom
536539,20725,"Tide PODS 3 in 1 HE Turbo Laundry Detergent Pacs, Spring Meadow Scent, 81 Count Tub - Packaging May Vary",1,01-12-2010 14:03,19,15165.0,United Kingdom
538343,23510,"Cottonelle Ultra GentleCare Toilet Paper, 48 Double Rolls, Sensitive Bath Tissue with Aloe & Vitamin E",24,10-12-2010 14:29,16,13448.0,United Kingdom
539098,22288,"Neutrogena Makeup Remover Cleansing Towelettes, Daily Cleansing Face Wipes to Remove Waterproof Makeup and Mascara, Alcohol-Free, Value Twin Pack, 25 count, 2 Pack",4,16-12-2010 10:28,8,14841.0,United Kingdom
551397,20712,"Schick Silk Touch-Up Multipurpose Exfoliating Dermaplaning Tool, Eyebrow Razor, and Facial Razor with Precision Cover, 3 Count",6,28-04-2011 12:55,4,15952.0,United Kingdom
C551330,22333,"Quilted Northern Ultra Plush Toilet Paper, 24 Supreme Rolls, 24 = 99 Regular Rolls, 3 Ply Bath Tissue, 3 Packs of 8 Rolls",2,27-04-2011 16:17,27,17115.0,United Kingdom
569697,90185D,"Bounty Quick-Size Paper Towels, White, Family Rolls, 12 Count (Equal to 30 Regular Rolls)",10,05-10-2011 15:38,30,17647.0,United Kingdom
580642,21523,AmazonBasics 9 Volt Everyday Alkaline Battery - Pack of 8,4,05-12-2011 12:55,9,13311.0,United Kingdom
544444,22086,"Orgain Organic Plant Based Protein Powder, Creamy Chocolate Fudge - Vegan, Low Net Carbs, Non Dairy, Gluten Free, Lactose Free, No Sugar Added, Soy Free, Kosher, Non-GMO, 2.03 Pound",24,20-02-2011 10:51,26,13246.0,United Kingdom
