InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
548899,23422,Home & Kitchen,1,04-04-2011 16:31,13,15838.0,United Kingdom
578997,22726,"Little One's Pad Pack N Play Crib Mattress Cover - 27"" X 39"" - Fits Most Baby Portable Cribs, Play Yards and Foldable Mattresses - Waterproof, Dryer Safe - Comfy and Soft Fitted Crib Protector",4,27-11-2011 16:02,19,18001.0,United Kingdom
567197,22470,"Kids Star Night Light, 360-Degree Rotating Star Projector, Desk Lamp 4 LEDs 8 Colors Changing with USB Cable, Best for Children Baby Bedroom and Party Decorations",1,19-09-2011 10:10,13,14934.0,Channel Islands
540460,21172,"400-Thread-Count 100% Cotton Sheet Pure White Queen-Sheets Set, 4-Piece Long-staple Combed Cotton Best-Bedding Sheets For Bed, Breathable, Soft & Silky Sateen Weave Fits Mattress Upto 18'' Deep Pocket",4,07-01-2011 12:44,39,15607.0,United Kingdom
544650,85152,"Ubbi Steel Odor Locking, No Special Bag Required Money Saving, Awards-Winning, Modern Design Registry Must-Have Diaper Pail, Gray",1,22-02-2011 12:40,69,16349.0,United Kingdom
568529,23108,Munchkin 6 Piece Lift Infant Spoons,8,27-09-2011 13:38,5,16181.0,United Kingdom
541276,20972,Mirari OK to Wake! Alarm Clock & Night-Light,3,17-01-2011 11:34,27,15316.0,United Kingdom
551543,21329,Ultra Glow in the Dark Stars; 200 Count w/ Bonus Moon,12,03-05-2011 09:26,11,16055.0,United Kingdom
563022,20971,"GORILLA GRIP Slip-Resistant Leak Proof Mattress Pad Protector, 52x34, Absorbs 8 Cups, Oeko Tex Certified, Waterproof Bed Wetting Incontinence Cover, Washable Hospital Grade Pads for Toddlers, Elderly",96,11-08-2011 13:34,18,17248.0,United Kingdom
562769,21445,"Carters Waterproof Fitted Quilted Crib and Toddler Protective Mattress Pad Cover, White",12,09-08-2011 10:52,12,14409.0,United Kingdom
