InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
545519,71053,Redux Analogue Blue Dial Men's & Boy's Watch RWS0216S,1,03-03-2011 12:27,299,16159.0,United Kingdom
545702,22899,Foxter Pack of 6 Multicolour Analog Analog Watch for Men and Boys,7,06-03-2011 15:21,488,14247.0,United Kingdom
536527,21703,Dazon Analogue Unique Arrow Silicon Analog Men's Watch,48,01-12-2010 13:04,199,12662.0,Germany
545340,23100,Vills Laurrens Analogue Black Dial Day and Date Series Men's Watch,1,02-03-2011 08:41,379,15416.0,United Kingdom
577553,23264,SKMEI Digital Dial Men's Watch-1251 Black …,1,20-11-2011 15:30,440,17425.0,United Kingdom
556481,21210,Buccachi Round Chronograph Black Dial Water Resistant Stainless Steel Bracelet Watch for Men/Boy's (B-G5075-BK-BC),1,12-06-2011 13:00,449,16115.0,United Kingdom
578551,90188,Espoir Analog Blue Dial Men's Watch-ES-81940,12,24-11-2011 15:05,284,12937.0,United Kingdom
545912,22637,Foxter Pack of 3 Multicolour Analog Qurtz Watch for Men and Boys,2,08-03-2011 10:33,320,15944.0,United Kingdom
574677,20985,Redux Analogue Brown Dial Men's & Boy's Watch RWS0200S,10,06-11-2011 12:32,299,16445.0,United Kingdom
564640,48185,Skmei Analog-Digital Black Dial Men's Watch - 1155 Gold,1,26-08-2011 13:00,457,14837.0,United Kingdom
566851,23204,Espoir Analog Blue Dial Men's Watch-LCS-96145,1,15-09-2011 12:16,295,15573.0,United Kingdom
572331,20933,Smart Watches with Bluetooth 4G Sim Card Supported with Sports and Fitness Tracker and More Smart Watch for Boys and Mens (smartwatch) - Black,2,24-10-2011 10:18,598,16491.0,United Kingdom
546646,21535,LimeStone Day and Date Functioning Black Quartz Watch for Boys - (LS2805),2,15-03-2011 13:49,299,13716.0,United Kingdom
C579496,23301,"5 Milestone Breitling Watches, from 1915 to Today: Guidebook for luxury watches",4,29-11-2011 15:38,0,18161.0,United Kingdom
559148,22135,Fadiso Fashion Blue Dial Day and Date Functioning Analogue Men's Watch,12,06-07-2011 14:41,329,12450.0,Spain
C539067,22969,Relish Analogue Black Dial Men's & Boy's Watch (RE-BB1034DD),6,15-12-2010 16:55,329,15194.0,United Kingdom
565583,22960,Redux Analogue Blue Dial Men's & Boy's Watch RWS0216S,1,05-09-2011 12:41,299,12816.0,Poland
C566671,21245,Foxter Pack of 6 Multicolour Analog Analog Watch for Men and Boys,2,14-09-2011 11:39,488,17841.0,United Kingdom
C545833,22584,Dazon Analogue Unique Arrow Silicon Analog Men's Watch,2,07-03-2011 13:14,199,16013.0,United Kingdom
576224,22460,Vills Laurrens Analogue Black Dial Day and Date Series Men's Watch,1,14-11-2011 13:08,379,15458.0,United Kingdom
565397,23200,SKMEI Digital Dial Men's Watch-1251 Black …,1,02-09-2011 16:43,440,14171.0,United Kingdom
563196,20675,Buccachi Round Chronograph Black Dial Water Resistant Stainless Steel Bracelet Watch for Men/Boy's (B-G5075-BK-BC),2,12-08-2011 16:54,449,14406.0,United Kingdom
560503,85212,Espoir Analog Blue Dial Men's Watch-ES-81940,1,19-07-2011 11:40,284,17682.0,United Kingdom
571740,48187,Foxter Pack of 3 Multicolour Analog Qurtz Watch for Men and Boys,120,19-10-2011 10:34,320,17973.0,United Kingdom
559187,47580,Redux Analogue Brown Dial Men's & Boy's Watch RWS0200S,1,07-07-2011 10:20,299,12507.0,Spain
547846,23356,Skmei Analog-Digital Black Dial Men's Watch - 1155 Gold,1,27-03-2011 11:59,457,18071.0,United Kingdom
552314,21770,Espoir Analog Blue Dial Men's Watch-LCS-96145,10,08-05-2011 16:06,295,14353.0,United Kingdom
567175,21313,Smart Watches with Bluetooth 4G Sim Card Supported with Sports and Fitness Tracker and More Smart Watch for Boys and Mens (smartwatch) - Black,1,18-09-2011 13:38,598,13067.0,United Kingdom
573122,22450,LimeStone Day and Date Functioning Black Quartz Watch for Boys - (LS2805),2,27-10-2011 16:23,299,14357.0,United Kingdom
581483,22196,"5 Milestone Breitling Watches, from 1915 to Today: Guidebook for luxury watches",1,09-12-2011 09:15,0,16446.0,United Kingdom
574677,22588,Fadiso Fashion Blue Dial Day and Date Functioning Analogue Men's Watch,1,06-11-2011 12:32,329,16445.0,United Kingdom
552449,22726,Relish Analogue Black Dial Men's & Boy's Watch (RE-BB1034DD),1,09-05-2011 13:49,329,12355.0,Bahrain
569472,21425,Timex Analog Blue Dial Men's Watch-TW00ZR262E,1,04-10-2011 12:38,975,14515.0,United Kingdom
570014,23127,Espoir Analog Blue Dial Men's Watch - ESP12457,4,07-10-2011 09:56,284,15214.0,United Kingdom
C566958,22558,Swisstyle Anolog Black Dial Men's Watch-SS-GR06612-BLK-CH,32,15-09-2011 16:57,423,14420.0,United Kingdom
550152,22195,Smael Analogue Digtal Dual Quartz Movement Military Design Water Resistant Sports Men's Watch -1436,10,14-04-2011 14:43,496,17362.0,United Kingdom
564371,85205B,THE WATCH HUB Enterprise Red LED Illuminated Black Belt Display Digital Black Dial Boy's and Girl's Professional Watch-M2,1,25-08-2011 09:53,76,17705.0,United Kingdom
567300,22099,MICACCHI Harbour Analogue Blue Unique Dial Ultra Platform Metal Black Belt Men's Watch,24,19-09-2011 12:36,899,12724.0,France
544101,22232,Intelligent M3 Intelligence Bluetooth Smart Watch/Smart Bracelet/Health Band/Activity Tracker/Bracelet/Fitness Band/M3 Band/with Heart Rate Sensor Compatible for All Androids and iOS Phone/Tablet,12,16-02-2011 10:32,499,16378.0,United Kingdom
575206,85204,Bullfinch Set of Two Wrist Watch Combo Set for Boy's,6,09-11-2011 10:26,305,14298.0,United Kingdom
538108,20975,REDUX Analogue Black Dial Men's Watch (Rws0106),1,09-12-2010 15:23,279,17456.0,United Kingdom
581428,22077,End of Watch,10,08-12-2011 15:37,289,13404.0,United Kingdom
564860,23215,CURREN Quartz Tungsten Steel Precision Vogue Business Black Gold Men's Big Watch 3ATM Waterproof,4,31-08-2011 10:06,599,17725.0,United Kingdom
538510,22746,Fashion 4100 Hubby Wifey Exclusive Watch for Couples's,12,12-12-2010 13:47,199,18004.0,United Kingdom
549115,23326,"Junaldo M3 Smart Fitness Band Activity Watch Heart Rate Sensor Silicone Digital LED Bracelet Band Wrist Watch for All Kids, Boys/Men/Girls/Digital Watch (M3 Black)",1,06-04-2011 12:41,499,13098.0,United Kingdom
551165,21845,New Raiyaraj Embroidery Analogue Blue Dial Boy's Watch,4,26-04-2011 15:58,159,17262.0,United Kingdom
571304,22327,"R P S Fashion Analogue Black Dial Men's Watch, Pack of 2",24,17-10-2011 09:37,149,12526.0,Germany
543594,22814,SWISSTONE Analogue Brown Dial and Leather Strap Men's Watch,1,10-02-2011 12:15,375,18093.0,United Kingdom
565921,POST,Skmei Analogue Digtal Dual Quartz Movement Military Design Water Resistant Sports Men's Watch -(1545),3,08-09-2011 09:13,498,13889.0,United Kingdom
559458,21382,Smartwatches: Was sie können und wer sie braucht (Ratgeber Uhren und Schmuck) (German Edition),12,08-07-2011 12:50,0,14104.0,United Kingdom
550623,22753,"Matrix""Mesh Collection"" Day & Date Wrist Watch for Men & Boys (DD-60)",2,19-04-2011 13:56,299,13719.0,United Kingdom
547937,90214L,Eddy Hager Day and Date Men's Watch,2,28-03-2011 14:27,299,15068.0,United Kingdom
569848,23403,Fastrack Reflex 2.0 Activity Tracker - SWD90059PP05,100,06-10-2011 13:48,"1,495",16316.0,United Kingdom
568144,75049L,Micacchi Analogue Digital Multi Colour Dial Leather Brown Strap Mens Watches Boys Watch PTM,1,25-09-2011 11:29,"1,279",14005.0,United Kingdom
C547710,22895,ZAUKY M3 Fitness Band Intelligence Bluetooth Health Wrist Smart Band Watch Monitor/Smart Bracelet/Health Bracelet/Activity Tracker/Smart Fitness Band for All Mobiles,12,24-03-2011 19:27,299,14875.0,United Kingdom
571040,21591,Analogue Black Dial Men's & Boy's Watch,4,13-10-2011 12:59,149,15272.0,United Kingdom
555518,22396,Sonata Super Fibre Analog Black Dial Men's Watch -NH7930PP01C,1,05-06-2011 10:58,575,14891.0,United Kingdom
C553569,84997A,WRIGHTRACK Exclusive Series Quartz Movement Leather Strap Day & Date White Dial Analogue Men's and Boy's Wrist Watch (WT516),8,18-05-2011 09:23,368,16116.0,United Kingdom
C555248,22382,TIMEWEAR Day Date Functioning Blue Dial Blue Strap Watch for Men's - 238BDTG,6,01-06-2011 14:49,299,17682.0,United Kingdom
550032,21931,VITALEO Activity Tracker/Bracelet Watch for Men/Fitness Watch for Women/Fitness Watch for Men/Health Watch/Health Band/Health Band & Activity Tracker/Wrist Smart Band/Heartbeat Watch/Sport Smart Watch,24,14-04-2011 11:39,456,15139.0,United Kingdom
564660,22136,Giomex Fast-Track Casual Analogue White Dial Men's Watch,2,26-08-2011 14:45,499,15074.0,United Kingdom
559899,35964,Eddy Hager Analogue Blue Dial Men's Watch - EH-210-BL,6,13-07-2011 12:24,299,12528.0,Germany
554116,23263,R P S Fashion New Digital Black Colour Watch 2019,6,22-05-2011 15:12,74,14514.0,United Kingdom
546403,21212,Sonata Analog White Dial Men's Watch -NJ7987YL02W,24,11-03-2011 15:22,530,16766.0,United Kingdom
