InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
577136,72351A,Women,-4,18-11-2011 08:57,12,17163.0,United Kingdom
569419,22027,Clothing,12,04-10-2011 10:31,8,15864.0,United Kingdom
552058,22086,Women,3,06-05-2011 10:36,12,15218.0,United Kingdom
536563,82583,Clothing,96,01-12-2010 15:08,10,17760.0,United Kingdom
571747,85216,Women's Casual Summer Empire Waist Tshirt Dresses with Pockets,1,19-10-2011 10:59,21,13849.0,United Kingdom
570254,22726,Women's Nike Swoosh Sports Bra,1,10-10-2011 09:41,22,16179.0,United Kingdom
536639,51014A,Women's Marilyn Straight Leg Denim Jeans,2,02-12-2010 11:45,24,15111.0,United Kingdom
549188,22718,Women's Amanda Classic Tapered Jean,8,07-04-2011 10:10,143,13731.0,United Kingdom
C574487,21248,Women's This is Not a Bra Full-Coverage Underwire Bra,2,04-11-2011 12:57,35,14112.0,United Kingdom
546247,23300,Unbranded Women's Sleeveless Loose Plain Dresses Casual Short Dress with Pockets,3,10-03-2011 13:34,233,18086.0,United Kingdom
552577,85174,Women's Long Sleeve Casual Loose T-Shirt Dress,8,10-05-2011 12:28,5,13242.0,United Kingdom
555740,23479,High Waisted Leggings -Soft & Slim - Solid Colors & 1000+ Prints,1,07-06-2011 09:51,59,18226.0,United Kingdom
552463,22488,Women's 2-Pack Classic-Fit Short-Sleeve Crewneck T-Shirt,48,09-05-2011 14:54,13,14699.0,United Kingdom
546254,23004,Women's Cute Mesh Yoga Workout Tank Tops Activewear Sexy Open Back Sports Shirts,4,10-03-2011 14:45,69,14727.0,United Kingdom
557027,23082,Womens Loose Blouse Short Sleeve V Neck Button Down T Shirts Tie Front Knot Casual Tops,2,16-06-2011 13:24,15,12816.0,Poland
552319,22261,"Simple Wishes Signature Hands Free Pumping Bra, Patented, Pink, X-Small - Large",32,09-05-2011 08:23,22,13003.0,United Kingdom
551002,23291,MBJ Women's Solid Short Sleeve Boat Neck V Neck Dolman Top with Side Shirring-Made in U.S.A.,2,26-04-2011 09:37,9,16834.0,United Kingdom
562950,22150,Women's Easy Does It No Bulge Wire-Free,6,11-08-2011 09:56,19,15608.0,United Kingdom
C547661,21577,Womens Power Flex Yoga Pants,8,24-03-2011 13:09,7,13736.0,United Kingdom
549813,21936,Women's Short Sleeve V-Neck Shirts Loose Casual Tee T-Shirt,10,12-04-2011 12:16,31,17972.0,United Kingdom
575090,22838,Women's Sleeveless Lace Floral Elegant Cocktail Dress Crew Neck Knee Length for Party,3,08-11-2011 14:04,16,17515.0,United Kingdom
541700,22197,Women's Casual Plain Simple T-Shirt Loose Dress,12,21-01-2011 09:06,18,15174.0,United Kingdom
567659,82483,Womens Off The Shoulder Short Sleeve High Low Cocktail Skater Dress,24,21-09-2011 14:55,10,17475.0,United Kingdom
548506,22664,"Women's 5"" Inseam Chino Short",12,31-03-2011 14:42,15,18037.0,United Kingdom
C541503,21900,High Waist Power Flex Tummy Control Leggings,2,18-01-2011 15:31,15,15291.0,United Kingdom
564629,82613D,Women’s Beauty Back Full Figure Wirefree Bra 71380,2,26-08-2011 11:48,18,14866.0,United Kingdom
550819,22554,Women's 4-Pack Camisole,1,20-04-2011 17:37,34,17530.0,United Kingdom
580635,21866,Women's Comfy Casual Pajama Pants Floral Print Drawstring Palazzo Lounge Pants Wide Leg,1,05-12-2011 12:30,9,14649.0,United Kingdom
576984,23193,Women's Vintage Patchwork Pockets Puffy Swing Casual Party Dress OX165,8,17-11-2011 11:54,16,14332.0,United Kingdom
547800,21169,Women's 2-Pack Slim-Fit Tank,1,25-03-2011 12:55,10,14504.0,United Kingdom
563571,23008,Women's Summer Sleeveless Pleated Back Closure Casual Tank Tops,1,17-08-2011 14:58,49,15541.0,United Kingdom
